ts,ax,ay,az,gx,gy,gz,label
83424,-114,968,-313,21713,28671,26718,walking
83444,-122,1034,-301,-31311,-30090,22568,walking
83464,-179,1083,-287,-1770,-20996,25681,walking
83484,-277,1137,-200,15441,-19897,26657,walking
83504,-357,1156,-53,-28793,-26428,29648,walking
83524,-439,1128,64,28747,22629,-20446,walking
83544,-457,1052,54,15686,7797,13977,walking
83564,-462,998,-16,5004,8408,19714,walking
83584,-352,906,-42,1831,14450,21972,walking
83604,-272,867,-96,7690,20615,16967,walking
83624,-220,846,-120,15747,29099,9887,walking
83644,-205,871,-167,27038,-31005,-2014,walking
83664,-211,886,-227,-22690,-22277,-16784,walking
83684,-257,939,-218,-25436,-10498,-21484,walking
83704,-299,965,-156,18371,-4150,-17578,walking
83724,-341,935,-105,5310,-4455,-10070,walking
83744,-357,880,-117,976,-5859,-1831,walking
83764,-338,850,-150,-427,-3295,-1159,walking
83784,-319,868,-158,-5249,-1525,-1953,walking
83804,-308,914,-175,-6774,671,-3173,walking
83824,-294,963,-159,-5432,4272,976,walking
83844,-307,989,-148,-1831,4882,5249,walking
83864,-317,994,-176,-3967,4516,12573,walking
83884,-307,988,-197,-10681,4516,26000,walking
83904,-279,948,-192,-5004,7568,29052,walking
83924,-270,897,-203,-2014,15991,18249,walking
83944,-283,887,-243,-1464,22277,4089,walking
83964,-276,912,-253,-1098,29052,-1403,walking
83984,-259,901,-271,3356,-31235,-1953,walking
84004,-229,914,-289,-2197,-24826,-2990,walking
84024,-196,958,-260,-11291,-22324,-1342,walking
84044,-145,1037,-229,-21850,-27145,4333,walking
84064,-86,1073,-206,-21972,30822,12268,walking
84084,-65,1012,-221,-12817,20629,28137,walking
84104,-60,953,-183,13305,21118,31311,walking
84124,-99,924,-89,-27267,24475,16845,walking
84144,-170,1033,-56,30395,25939,8605,walking
84164,-149,1102,-74,16540,19653,12695,walking
84184,-114,1123,-125,11413,11352,22827,walking
84204,-58,1115,-149,5737,7202,25939,walking
84224,-14,1062,-170,-7080,1159,22888,walking
84244,19,991,-202,-22277,-6286,14099,walking
84264,5,947,-235,-31982,-4638,8422,walking
84284,-5,906,-226,-25207,1892,671,walking
84304,-26,845,-189,-11108,12939,-10009,walking
84324,-80,851,-151,-9155,17700,-15930,walking
84344,-99,928,-149,-9155,19592,-19714,walking
84364,-104,1000,-146,-12878,19653,-16540,walking
84384,-94,1062,-157,-16540,16967,-12207,walking
84404,-89,1081,-147,-14099,13610,-7019,walking
84424,-61,1081,-114,-14404,9643,-4089,walking
84444,-32,1080,-101,-6774,1647,-1647,walking
84464,-16,1074,-183,4882,-10131,6652,walking
84484,-15,993,-138,24597,-26367,5798,walking
84504,-38,858,-27,6347,-23681,-10192,walking
84524,-92,845,-35,-2441,-27221,-19714,walking
84544,-96,892,-179,-732,30197,-21362,walking
84564,-70,959,-313,-8117,-29663,-18981,walking
